settlement_id,vendor_id,admin_id,status,amount,date
1,4,5,paid,1884.0,2026-03-03
2,1,1,paid,1049.0,2026-02-25
3,7,4,requested,745.0,2026-03-05
4,5,3,requested,3473.0,2026-02-17
5,4,1,requested,2257.0,2026-02-25
6,6,3,paid,1160.0,2026-02-12
7,6,2,paid,2641.0,2026-03-05
8,2,5,paid,2089.0,2026-02-22
9,3,5,requested,3083.0,2026-02-27
10,3,3,paid,2539.0,2026-02-14
11,1,1,requested,2895.0,2026-02-16
12,1,2,requested,1758.0,2026-02-13
13,1,5,requested,4156.0,2026-03-09
14,4,5,requested,4722.0,2026-02-15
15,2,2,requested,4335.0,2026-02-24
16,9,3,paid,1397.0,2026-02-27
17,2,4,requested,1816.0,2026-03-03
18,7,3,requested,4498.0,2026-02-17
19,4,2,paid,1402.0,2026-03-08
20,8,1,requested,1409.0,2026-02-28
